0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,21->5->17->1->25->7->9->18,948981581
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,19->16->17->2->13->22->23->8,3085868328
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,16->17->9->1->25->21->23->6,276426704760
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,25->1->17->21->5->8->6->18,256559663
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,16->19->8->25->1->20->22->7,5861721366231
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,21->5->9->1->12->6->11->7,35724350
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,1->12->2->21->5->25->19->8,43907854
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,21->5->17->25->1->22->7->6,2528721882
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,25->1->17->21->5->8->18->20,513119326
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,19->16->17->21->5->1->9->22,66763180648
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,5->21->17->1->12->13->6->23,56173173
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,5->21->16->1->12->7->20->19,37971386
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,19->16->5->1->25->20->18->8,766131480645
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,5->21->9->1->25->6->24->19,171951277
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,5->21->19->24->22->25->1->7,100491698
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,25->1->9->21->5->20->11->2,506734222
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,24->22->8->5->21->17->9->1,5281870
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,1->25->16->5->21->20->3->7,42635698
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,1->25->9->13->2->7->5->18,108760077
0-2;1-2;1-3;3-5;4-5;4-6;4-7;4-8,21->5->17->25->12->22->13->7,23647794
