0-1;0-2;1-3;2-3;3-4;3-5;4-5,23->23->26->26->2->20->20,1007
0-1;0-2;1-3;2-3;3-4;3-5;4-5,8->8->9->9->8->20->20,2134643
0-1;0-2;1-3;2-3;3-4;3-5;4-5,2->2->8->8->8->20->20,2205534
0-1;0-2;1-3;2-3;3-4;3-5;4-5,2->2->16->16->2->20->20,1341439
0-1;0-2;1-3;2-3;3-4;3-5;4-5,2->2->17->17->2->20->20,1897240
0-1;0-2;1-3;2-3;3-4;3-5;4-5,8->8->8->8->17->20->20,4269332
0-1;0-2;1-3;2-3;3-4;3-5;4-5,26->21->9->9->19->20->20,59906
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->2->2->8->20->20,3917550
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->8->8->2->20->20,3920430
0-1;0-2;1-3;2-3;3-4;3-5;4-5,9->9->21->5->9->18->18,308659
0-1;0-2;1-3;2-3;3-4;3-5;4-5,18->18->21->5->2->20->20,1140682
0-1;0-2;1-3;2-3;3-4;3-5;4-5,23->23->21->21->8->20->20,2071
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->17->17->10->20->20,29961
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->9->9->8->20->20,1722294
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->17->17->17->20->20,2833146
0-1;0-2;1-3;2-3;3-4;3-5;4-5,9->9->19->19->2->20->20,727035
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->8->8->17->20->20,3920288
0-1;0-2;1-3;2-3;3-4;3-5;4-5,16->16->2->2->9->20->20,764414
0-1;0-2;1-3;2-3;3-4;3-5;4-5,26->26->5->21->17->20->20,115485
0-1;0-2;1-3;2-3;3-4;3-5;4-5,25->25->21->26->9->18->18,854868
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->9->9->2->20->20,1726511
0-1;0-2;1-3;2-3;3-4;3-5;4-5,16->16->9->9->5->20->20,491243
0-1;0-2;1-3;2-3;3-4;3-5;4-5,23->23->26->26->17->20->20,1765
0-1;0-2;1-3;2-3;3-4;3-5;4-5,19->19->9->9->2->20->20,783237
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->21->21->8->20->20,1183181
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->17->17->2->20->20,3241632
0-1;0-2;1-3;2-3;3-4;3-5;4-5,16->16->9->9->8->20->20,580924
0-1;0-2;1-3;2-3;3-4;3-5;4-5,8->8->17->17->2->20->20,4266621
0-1;0-2;1-3;2-3;3-4;3-5;4-5,8->8->17->17->17->20->20,4058318
0-1;0-2;1-3;2-3;3-4;3-5;4-5,19->19->2->2->2->20->20,518067
0-1;0-2;1-3;2-3;3-4;3-5;4-5,26->26->2->2->8->20->20,208407
0-1;0-2;1-3;2-3;3-4;3-5;4-5,8->8->2->2->9->20->20,2133597
0-1;0-2;1-3;2-3;3-4;3-5;4-5,19->19->9->9->19->20->20,218985
0-1;0-2;1-3;2-3;3-4;3-5;4-5,21->5->2->2->19->20->20,546486
0-1;0-2;1-3;2-3;3-4;3-5;4-5,26->21->8->8->9->18->18,208161
0-1;0-2;1-3;2-3;3-4;3-5;4-5,17->17->8->8->8->20->20,3920430
0-1;0-2;1-3;2-3;3-4;3-5;4-5,2->2->17->17->17->20->20,1653647
0-1;0-2;1-3;2-3;3-4;3-5;4-5,8->8->17->17->8->8->8,483870
0-1;0-2;1-3;2-3;3-4;3-5;4-5,2->2->17->17->9->18->18,858645
0-1;0-2;1-3;2-3;3-4;3-5;4-5,2->2->21->5->8->8->8,23950
