0-1;0-2;0-3;3-4;4-5;4-6,45166->45167->45178->45160->45176->45177,344477028783
0-1;0-2;0-3;3-4;4-5;4-6,45166->45167->45178->45177->45160->45176,526645502594
0-1;0-2;0-3;3-4;4-5;4-6,45163->45169->45164->45171->45180->45173,80366698911
0-1;0-2;0-3;3-4;4-5;4-6,45161->45166->45178->45177->45159->45180,67281070030
0-1;0-2;0-3;3-4;4-5;4-6,45166->45167->45178->45160->45174->45176,75824230991
0-1;0-2;0-3;3-4;4-5;4-6,45174->45159->45173->45160->45176->45180,21525906269
0-1;0-2;0-3;3-4;4-5;4-6,45161->45181->45166->45173->45174->45176,738385606
0-1;0-2;0-3;3-4;4-5;4-6,45166->45181->45167->45160->45180->45177,1493160214482
0-1;0-2;0-3;3-4;4-5;4-6,45181->45165->45166->45160->45180->45177,63528907208
0-1;0-2;0-3;3-4;4-5;4-6,45166->45178->45165->45168->45163->45169,9138949685
0-1;0-2;0-3;3-4;4-5;4-6,45163->45164->45169->45173->45160->45174,3098788144
0-1;0-2;0-3;3-4;4-5;4-6,45181->45178->45161->45166->45177->45173,3591088439
0-1;0-2;0-3;3-4;4-5;4-6,45181->45166->45170->45162->45160->45176,22643053064
0-1;0-2;0-3;3-4;4-5;4-6,45163->45168->45179->45173->45159->45174,530957345
0-1;0-2;0-3;3-4;4-5;4-6,45161->45178->45167->45177->45159->45174,293301297294
0-1;0-2;0-3;3-4;4-5;4-6,45181->45178->45166->45173->45177->45174,12722656816
0-1;0-2;0-3;3-4;4-5;4-6,45181->45161->45166->45177->45159->45174,77843960009
0-1;0-2;0-3;3-4;4-5;4-6,45166->45181->45165->45169->45177->45160,1215732642655
0-1;0-2;0-3;3-4;4-5;4-6,45166->45181->45161->45167->45159->45177,415113915414
0-1;0-2;0-3;3-4;4-5;4-6,45167->45181->45166->45160->45159->45180,4575677629771
