0-1;0-2;1-3;3-2,45177->45177->45177->45177,88486401
0-1;0-2;1-3;3-2,45160->45174->45177->45174,1529571
0-1;0-2;1-3;3-2,45173->45174->45173->45174,154024
0-1;0-2;1-3;3-2,45177->45177->45160->45177,19208845
0-1;0-2;1-3;3-2,45173->45180->45160->45180,102272
0-1;0-2;1-3;3-2,45173->45176->45160->45176,73824
0-1;0-2;1-3;3-2,45160->45160->45177->45160,5603069
0-1;0-2;1-3;3-2,45160->45176->45173->45176,98327
0-1;0-2;1-3;3-2,45173->45174->45160->45174,72909
0-1;0-2;1-3;3-2,45173->45173->45177->45177,132349
0-1;0-2;1-3;3-2,45173->45173->45160->45177,37875
0-1;0-2;1-3;3-2,45160->45159->45160->45159,38025562
0-1;0-2;1-3;3-2,45173->45173->45173->45173,3788669
0-1;0-2;1-3;3-2,45166->45166->45160->45160,30116
0-1;0-2;1-3;3-2,45166->45178->45177->45177,454109
0-1;0-2;1-3;3-2,45161->45181->45161->45181,592881
0-1;0-2;1-3;3-2,45177->45180->45177->45180,4278084
0-1;0-2;1-3;3-2,45178->45178->45177->45177,6695182
0-1;0-2;1-3;3-2,45175->45175->45161->45161,4231
0-1;0-2;1-3;3-2,45177->45177->45160->45160,7265709
0-1;0-2;1-3;3-2,45160->45159->45173->45159,898270
0-1;0-2;1-3;3-2,45177->45159->45177->45159,32012123
0-1;0-2;1-3;3-2,45160->45160->45160->45160,23072568
0-1;0-2;1-3;3-2,45173->45159->45160->45159,517530
0-1;0-2;1-3;3-2,45160->45159->45177->45159,15535617
0-1;0-2;1-3;3-2,45160->45176->45160->45176,5425626
0-1;0-2;1-3;3-2,45173->45159->45173->45159,742398
0-1;0-2;1-3;3-2,45177->45159->45173->45159,806599
