0-2;1-2;1-3,3->117->1,20789501
0-2;1-2;1-3,2->118->1,2884499
0-2;1-2;1-3,2->119->1,5638667
0-2;1-2;1-3,3->118->1,3613408
0-2;1-2;1-3,2->120->1,1407198
0-2;1-2;1-3,3->119->1,7891841
0-2;1-2;1-3,2->121->1,760427
0-2;1-2;1-3,3->120->1,1826900
0-2;1-2;1-3,3->121->1,956277
0-2;1-2;1-3,2->122->1,3723240
0-2;1-2;1-3,2->123->1,1939166
0-2;1-2;1-3,3->122->1,7537486
0-2;1-2;1-3,3->123->1,2435246
0-2;1-2;1-3,2->124->1,312874
0-2;1-2;1-3,3->124->1,433849
0-2;1-2;1-3,2->125->1,752634
0-2;1-2;1-3,3->125->1,972608
0-2;1-2;1-3,2->126->1,972635
0-2;1-2;1-3,2->127->1,284917
0-2;1-2;1-3,3->126->1,1336245
0-2;1-2;1-3,3->127->1,433014
0-2;1-2;1-3,2->117->1,13145949
