0-1;0-4;2-4;3-4,1->117->100->2,230484376
0-1;0-4;2-4;3-4,1->118->100->2,37479819
0-1;0-4;2-4;3-4,1->117->100->3,918797973
0-1;0-4;2-4;3-4,1->119->100->2,80801026
0-1;0-4;2-4;3-4,1->118->100->3,120884297
0-1;0-4;2-4;3-4,1->119->100->3,279310503
0-1;0-4;2-4;3-4,1->120->100->2,14651440
0-1;0-4;2-4;3-4,1->120->100->3,52485082
0-1;0-4;2-4;3-4,1->121->100->2,9188930
0-1;0-4;2-4;3-4,1->122->100->2,134184236
0-1;0-4;2-4;3-4,1->121->100->3,32215653
0-1;0-4;2-4;3-4,1->123->100->2,20760951
0-1;0-4;2-4;3-4,1->122->100->3,586733508
0-1;0-4;2-4;3-4,1->124->100->2,5424174
0-1;0-4;2-4;3-4,1->123->100->3,74957358
0-1;0-4;2-4;3-4,1->124->100->3,18329312
0-1;0-4;2-4;3-4,1->125->100->2,10200373
0-1;0-4;2-4;3-4,1->125->100->3,36068504
0-1;0-4;2-4;3-4,1->126->100->2,11868486
0-1;0-4;2-4;3-4,1->126->100->3,43190369
0-1;0-4;2-4;3-4,1->127->100->2,5457734
0-1;0-4;2-4;3-4,1->127->100->3,18752031
