0-1;1-2;2-3;3-4;4-5;5-0,1052638->1052651->1052651->1052644->1052652->1052595,470959
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052595->1052638->1052651->1052644->1052655,23113
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052602->1052651->1052651->1052644->1052655,22619
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052591->1052644->1052651->1052644->1052655,7761
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052608->1052644->1052651->1052651->1052655,61172
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052595->1052638->1052644->1052644->1052655,15813
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052602->1052652->1052608->1052651->1052655,8
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052591->1052651->1052644->1052644->1052655,10217
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052602->1052644->1052651->1052644->1052655,20643
0-1;1-2;2-3;3-4;4-5;5-0,1052595->1052638->1052644->1052644->1052644->1052652,246650
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052608->1052644->1052651->1052644->1052655,71246
0-1;1-2;2-3;3-4;4-5;5-0,1052638->1052644->1052644->1052651->1052652->1052595,336633
0-1;1-2;2-3;3-4;4-5;5-0,1052602->1052644->1052644->1052651->1052644->1052652,301687
0-1;1-2;2-3;3-4;4-5;5-0,1052652->1052595->1052638->1052651->1052651->1052651,640130
0-1;1-2;2-3;3-4;4-5;5-0,1052595->1052638->1052644->1052651->1052644->1052652,338738
0-1;1-2;2-3;3-4;4-5;5-0,1052619->1052651->1052651->1052644->1052644->1052652,135960
0-1;1-2;2-3;3-4;4-5;5-0,1052591->1052644->1052651->1052644->1052644->1052652,104364
0-1;1-2;2-3;3-4;4-5;5-0,1052638->1052651->1052651->1052651->1052652->1052595,640130
0-1;1-2;2-3;3-4;4-5;5-0,1052638->1052644->1052644->1052644->1052652->1052595,246650
0-1;1-2;2-3;3-4;4-5;5-0,1052638->1052644->1052651->1052651->1052652->1052595,460584
0-1;1-2;2-3;3-4;4-5;5-0,1052638->1052651->1052644->1052644->1052652->1052595,345356
0-1;1-2;2-3;3-4;4-5;5-0,1052638->1052651->1052644->1052651->1052652->1052595,472968
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052595->1052638->1052651->1052651->1052655,19390
0-1;1-2;2-3;3-4;4-5;5-0,1052595->1052638->1052644->1052644->1052651->1052652,336633
0-1;1-2;2-3;3-4;4-5;5-0,1052624->1052595->1052638->1052644->1052651->1052655,13363
