0-1;0-2;1-3;2-3,1052573->1052573->1052595->1052595,540100
0-1;0-2;1-3;2-3,1052624->1052624->1052581->1052581,373722
0-1;0-2;1-3;2-3,1052595->1052595->1052640->1052640,104736
0-1;0-2;1-3;2-3,1052624->1052624->1052582->1052582,150000
0-1;0-2;1-3;2-3,1052624->1052624->1052583->1052583,97587
0-1;0-2;1-3;2-3,1052624->1052624->1052586->1052586,31129
0-1;0-2;1-3;2-3,1052624->1052624->1052608->1052608,92717
0-1;0-2;1-3;2-3,1052624->1052624->1052584->1052584,150000
0-1;0-2;1-3;2-3,1052624->1052624->1052587->1052587,794645
0-1;0-2;1-3;2-3,1052624->1052624->1052595->1052595,938692
0-1;0-2;1-3;2-3,1052624->1052624->1052589->1052589,40763
0-1;0-2;1-3;2-3,1052573->1052573->1052584->1052584,90000
0-1;0-2;1-3;2-3,1052644->1052644->1052643->1052643,3289323
0-1;0-2;1-3;2-3,1052573->1052573->1052581->1052581,211282
0-1;0-2;1-3;2-3,1052644->1052644->1052650->1052650,2357079
0-1;0-2;1-3;2-3,1052646->1052646->1052572->1052572,40297
0-1;0-2;1-3;2-3,1052573->1052573->1052582->1052582,90000
0-1;0-2;1-3;2-3,1052573->1052573->1052608->1052608,58359
0-1;0-2;1-3;2-3,1052638->1052638->1052651->1052651,6688256
0-1;0-2;1-3;2-3,1052644->1052644->1052655->1052655,7856073
0-1;0-2;1-3;2-3,1052638->1052638->1052643->1052643,150000
0-1;0-2;1-3;2-3,1052573->1052573->1052587->1052587,528651
0-1;0-2;1-3;2-3,1052638->1052638->1052642->1052642,227254
0-1;0-2;1-3;2-3,1052638->1052638->1052647->1052647,29832
0-1;0-2;1-3;2-3,1052638->1052638->1052652->1052652,167164
