0-1;11-10;11-12;2-1;2-3;4-3;4-5;6-5;7-6;7-8;9-10;9-8,50->17->62->47->47->55->25->63->2->2->5->21,39195
0-1;11-10;12-11;2-1;2-3;4-3;5-4;5-6;7-6;7-8;9-10;9-8,1->46->5->0->0->0->17->17->5->21->23->5,14
1-0;1-2;10-11;10-9;12-11;3-2;4-3;4-5;6-5;6-7;8-7;8-9,2->2->33->22->33->17->4->55->36->50->50->22,3
1-0;1-2;10-11;12-11;2-3;4-3;4-5;6-5;6-7;8-7;9-10;9-8,2->2->37->54->0->1->36->50->23->23->44->44,90
1-0;1-2;11-10;12-11;3-2;3-4;5-4;5-6;6-7;8-7;9-10;9-8,2->2->33->17->2->2->5->5->50->35->33->4,3
1-0;1-2;11-10;12-11;2-3;3-4;5-4;5-6;7-6;7-8;9-10;9-8,2->2->22->54->17->50->50->5->22->5->22->22,498
1-0;10-9;11-10;11-12;2-1;2-3;3-4;5-4;6-5;6-7;7-8;8-9,51->54->44->50->54->12->57->57->12->54->54->54,38594
1-0;1-2;11-10;11-12;3-2;3-4;5-4;5-6;7-6;7-8;9-10;9-8,2->2->21->5->2->2->33->1->0->35->21->36,1029
0-1;11-10;11-12;2-1;3-2;3-4;5-4;5-6;7-6;7-8;9-10;9-8,3->35->36->0->2->2->2->2->5->5->35->22,60549
0-1;11-10;11-12;2-1;3-2;3-4;4-5;5-6;7-6;7-8;8-9;9-10,36->23->35->35->17->17->17->46->46->17->17->36,499
1-0;1-2;11-10;11-12;3-2;3-4;5-4;5-6;6-7;7-8;9-10;9-8,2->2->50->58->2->2->22->23->17->36->35->36,2
0-1;11-10;11-12;2-1;3-2;3-4;5-4;5-6;7-6;7-8;9-10;9-8,1->5->22->0->17->36->53->53->35->21->17->17,22
1-0;1-2;10-11;10-9;12-11;3-2;3-4;5-4;5-6;7-6;7-8;8-9,2->2->48->36->2->21->21->2->2->2->2->39,36
0-1;10-11;10-9;11-12;2-1;2-3;4-3;4-5;6-5;6-7;8-7;8-9,3->5->39->62->1->21->13->39->36->21->22->36,694
0-1;10-11;12-11;2-1;2-3;4-3;5-4;5-6;7-6;7-8;8-9;9-10,5->17->2->21->39->36->44->36->36->21->17->17,16814
1-0;10-11;10-9;12-11;2-1;2-3;4-3;4-5;6-5;6-7;8-7;8-9,37->2->2->2->2->2->2->2->2->2->2->2,2130
0-1;11-10;11-12;2-1;2-3;4-3;4-5;6-5;6-7;8-7;8-9;9-10,21->23->54->5->22->23->13->21->21->13->58->23,507
1-0;1-2;10-11;11-12;3-2;3-4;5-4;6-5;6-7;8-7;9-10;9-8,5->5->54->4->5->5->5->58->12->12->54->54,2
0-1;10-11;10-9;12-11;2-1;2-3;4-3;5-4;5-6;7-6;8-7;8-9,13->35->13->2->13->23->13->58->23->23->58->22,283
1-0;1-2;11-10;11-12;3-2;3-4;5-4;5-6;6-7;8-7;9-10;9-8,2->2->11->11->2->2->2->2->17->5->8->54,79665
1-0;1-2;10-11;10-9;11-12;3-2;3-4;5-4;5-6;6-7;7-8;9-8,2->2->46->17->46->2->2->2->2->54->36->36,2961
1-0;10-11;10-9;12-11;2-1;2-3;4-3;4-5;6-5;6-7;8-7;8-9,57->5->36->13->21->22->13->23->21->50->47->47,2813
1-0;1-2;11-10;11-12;2-3;4-3;4-5;6-5;6-7;8-7;8-9;9-10,2->2->21->5->0->1->23->22->39->36->58->5,34688
1-0;1-2;11-10;11-12;3-2;3-4;5-4;5-6;7-6;7-8;9-10;9-8,2->2->47->47->2->2->2->2->50->39->36->50,168
1-0;1-2;10-9;11-10;11-12;3-2;3-4;5-4;5-6;7-6;7-8;9-8,2->2->6->2->2->2->2->2->2->2->2->2,1
0-1;11-10;11-12;2-1;3-2;3-4;5-4;5-6;7-6;7-8;9-10;9-8,0->21->21->24->36->36->36->23->23->58->22->17,20
1-0;1-2;11-10;11-12;3-2;3-4;4-5;5-6;7-6;7-8;9-10;9-8,2->2->2->2->2->2->6->2->2->2->2->2,1
1-0;1-2;10-11;10-9;11-12;2-3;3-4;4-5;6-5;6-7;8-7;8-9,2->2->22->5->46->12->17->62->62->5->5->22,80
1-0;1-2;10-11;10-9;12-11;2-3;3-4;5-4;6-5;6-7;8-7;8-9,48->46->5->36->5->12->57->57->5->37->37->35,676
1-0;1-2;10-9;11-10;11-12;3-2;3-4;5-4;5-6;7-6;7-8;8-9,2->2->0->5->17->2->2->2->2->2->2->0,1330
1-0;1-2;10-11;10-9;12-11;3-2;4-3;4-5;5-6;7-6;8-7;8-9,5->5->22->22->22->21->58->58->12->12->58->22,32
0-1;10-11;10-9;12-11;2-1;2-3;4-3;4-5;6-5;7-6;7-8;8-9,35->12->5->12->36->21->5->5->17->5->5->46,724596
0-1;11-10;11-12;2-1;3-2;3-4;4-5;6-5;7-6;7-8;9-10;9-8,0->12->36->0->5->13->57->57->21->5->12->23,661204
0-1;10-11;10-9;12-11;2-1;2-3;4-3;4-5;6-5;6-7;8-7;9-8,36->5->58->21->36->4->4->32->36->8->8->58,5784
0-1;10-11;11-12;2-1;3-2;3-4;5-4;5-6;6-7;8-7;9-10;9-8,5->54->23->46->17->46->46->17->17->5->2->2,90
