0-1;0-5;2-1;2-3;4-3;4-5,31->11->36->36->36->8,4459
0-1;0-5;2-1;2-3;4-3;4-5,11->11->8->8->8->8,40738
0-1;0-5;2-1;2-3;4-3;4-5,21->3->5->0->0->0,1887
0-1;0-5;2-1;2-3;4-3;4-5,8->1->8->36->39->0,356
0-1;0-5;2-1;2-3;4-3;4-5,36->8->39->39->36->8,862053
0-1;0-5;2-1;2-3;4-3;4-5,35->50->36->50->39->39,148841
0-1;0-5;2-1;2-3;4-3;4-5,36->8->50->23->23->8,8439
0-1;0-5;2-1;2-3;4-3;4-5,31->31->35->48->48->36,271084
0-1;0-5;2-1;2-3;4-3;4-5,36->50->47->47->31->31,28710
0-1;0-5;2-1;2-3;4-3;4-5,25->25->8->36->31->11,43643
0-1;0-5;2-1;2-3;4-3;4-5,8->0->11->11->11->0,34680
0-1;2-1;2-3;4-3;5-0;5-4,0->0->11->25->2->2,1
0-1;2-1;2-3;4-3;5-0;5-4,8->11->0->0->2->2,43
0-1;2-1;2-3;4-3;5-0;5-4,25->11->0->0->2->2,1
0-1;2-1;2-3;4-3;5-0;5-4,11->8->8->8->2->2,12033
0-1;2-1;2-3;4-3;5-0;5-4,0->0->11->8->2->2,43
0-1;2-1;2-3;4-3;5-0;5-4,36->36->0->0->2->2,230239
0-1;2-1;2-3;4-3;5-0;5-4,8->11->11->8->2->2,241417
0-1;2-1;2-3;4-3;5-0;5-4,17->13->13->17->5->5,4209
0-1;2-1;2-3;4-3;5-0;5-4,0->0->11->11->2->2,715960
0-1;2-1;2-3;4-3;5-0;5-4,8->63->63->11->2->2,1298
0-1;2-1;2-3;4-3;5-0;5-4,25->8->23->23->2->2,247
0-1;2-1;2-3;4-3;5-0;5-4,0->0->0->1->2->2,133179
0-1;2-1;2-3;4-3;5-0;5-4,32->39->39->36->2->2,815
0-1;2-1;2-3;4-3;5-0;5-4,57->57->11->11->5->36,165
0-1;0-5;2-1;3-2;4-3;4-5,57->0->57->17->21->1,15
0-1;1-2;3-2;4-3;5-0;5-4,22->57->57->39->2->2,2
1-0;2-1;2-3;3-4;4-5;5-0,58->17->17->17->17->58,19
1-0;1-2;2-3;3-4;5-0;5-4,36->46->17->33->50->33,119
1-0;1-2;2-3;3-4;5-0;5-4,5->58->5->17->5->5,54
1-0;1-2;2-3;3-4;5-0;5-4,5->54->5->17->5->21,8
0-1;2-1;2-3;4-3;4-5;5-0,47->36->50->55->55->29,4993
0-5;1-0;1-2;3-2;3-4;4-5,0->2->2->2->2->3,1713
0-5;1-0;1-2;3-2;3-4;4-5,0->2->2->5->5->0,365529
0-5;1-0;1-2;3-2;3-4;4-5,1->2->2->2->2->0,10674
1-0;2-1;2-3;3-4;5-0;5-4,29->55->36->29->29->29,260171
0-5;1-0;2-1;2-3;3-4;4-5,0->2->6->6->2->0,13
0-1;0-5;1-2;2-3;4-3;4-5,22->22->17->57->57->17,1719
1-0;1-2;2-3;4-3;5-0;5-4,5->5->60->60->2->2,24199
1-0;1-2;2-3;4-3;5-0;5-4,2->2->11->8->2->2,6
1-0;1-2;2-3;4-3;5-0;5-4,2->2->50->36->2->2,588
1-0;1-2;2-3;4-3;5-0;5-4,2->2->57->57->2->2,40738
1-0;1-2;2-3;4-3;5-0;5-4,2->2->8->11->2->2,6
1-0;1-2;2-3;4-3;5-0;5-4,2->2->3->0->2->2,1713
1-0;1-2;2-3;4-3;5-0;5-4,2->2->8->8->2->2,441274
