0-2;0-4;3-1;3-2;5-1;5-4;6-0;6-7;7-1,17->62->17->17->17->62->17->17->17,20871
0-2;0-4;3-1;3-2;5-1;5-4;6-0;6-7;7-1,1->1->31->0->36->1->2->2->36,11
0-2;0-4;3-1;3-2;5-1;5-4;6-0;6-7;7-1,11->11->23->8->23->8->2->2->23,6
0-2;0-4;3-1;3-2;5-1;5-4;6-0;6-7;7-1,11->11->57->11->57->63->2->2->57,728
1-3;1-5;1-7;2-0;2-3;4-0;4-5;6-0;6-7,5->5->17->5->5->5->5->5->5,118
1-3;1-5;1-7;2-0;2-3;4-0;4-5;6-0;6-7,54->5->22->22->54->13->23->23->22,1
1-3;1-5;1-7;2-0;2-3;4-0;4-5;6-0;6-7,5->5->36->48->21->48->21->48->36,2
1-3;1-5;1-7;2-0;2-3;4-0;4-5;6-0;6-7,5->13->13->46->17->13->21->13->21,430
1-3;1-5;1-7;2-0;2-3;4-0;4-5;6-0;6-7,5->21->5->36->5->36->21->36->5,544319
1-3;1-5;1-7;2-0;2-3;4-0;4-5;6-0;6-7,17->17->17->5->5->5->5->5->5,247649
2-0;2-3;3-1;4-0;4-5;5-1;6-0;6-7;7-1,2->2->57->2->2->57->2->2->57,16909
2-0;2-3;3-1;4-0;4-5;5-1;6-0;6-7;7-1,21->5->57->21->21->57->21->22->57,40738
2-0;2-3;3-1;4-0;4-5;5-1;6-0;6-7;7-1,36->12->57->50->66->57->36->32->76,204
0-6;1-3;1-5;1-7;2-0;3-2;4-0;4-5;7-6,62->21->5->12->17->17->21->5->62,1
0-2;0-4;1-3;1-5;3-2;5-4;6-0;6-7;7-1,17->46->17->46->17->46->46->46->17,230
0-2;0-4;0-6;3-1;3-2;5-1;5-4;6-7;7-1,17->17->17->5->21->5->5->17->17,1465
0-2;0-4;0-6;1-3;3-2;5-1;5-4;7-1;7-6,39->39->5->29->47->55->55->39->5,115638
0-2;0-4;0-6;1-7;3-1;3-2;5-1;5-4;6-7,31->31->31->29->55->35->55->55->29,551458
0-2;0-4;0-6;1-3;2-3;5-1;5-4;7-1;7-6,54->5->5->17->5->5->5->21->21,13
1-5;2-0;2-3;3-1;4-0;4-5;6-0;7-1;7-6,36->48->17->17->48->35->48->17->46,8910
0-4;1-3;1-5;1-7;2-0;2-3;5-4;6-0;6-7,57->5->13->13->22->5->57->5->13,726073
0-4;1-3;1-5;1-7;2-0;2-3;5-4;6-0;6-7,17->23->5->5->21->23->17->17->17,1481
0-4;1-3;1-7;2-0;2-3;5-1;5-4;6-0;6-7,17->17->46->21->5->5->5->21->5,15
0-2;0-4;0-6;1-5;3-1;3-2;5-4;7-1;7-6,13->13->13->17->23->23->46->21->21,17
0-6;2-0;2-3;3-1;4-0;4-5;5-1;7-1;7-6,0->2->2->13->2->2->13->22->1,45
0-4;2-0;2-3;3-1;4-5;5-1;6-0;6-7;7-1,17->17->46->57->46->57->5->5->57,1045
